"filename", "language", "JavaScript React", "comment", "blank", "total"
"d:\html\react\react-native\MyWebSocket\MainContent\index.jsx", "JavaScript React", 508, 127, 166, 801
"d:\html\react\react-native\MyWebSocket\MainContent\test.jsx", "JavaScript React", 22, 0, 5, 27
"Total", "-", 530, 127, 171, 828
