"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\html\react\react-native\MyWebSocket\api\api.js", "JavaScript", 141, 34, 45, 220
"d:\html\react\react-native\MyWebSocket\api\config.js", "JavaScript", 15, 3, 6, 24
"d:\html\react\react-native\MyWebSocket\api\headers.js", "JavaScript", 17, 16, 2, 35
"Total", "-", 173, 53, 53, 279
