"filename", "language", "JavaScript", "TypeScript", "comment", "blank", "total"
"d:\html\react\react-native\MyWebSocket\mobx\chat.js", "JavaScript", 29, 0, 0, 15, 44
"d:\html\react\react-native\MyWebSocket\mobx\friend.ts", "TypeScript", 0, 21, 0, 12, 33
"d:\html\react\react-native\MyWebSocket\mobx\lock.js", "JavaScript", 45, 0, 6, 19, 70
"d:\html\react\react-native\MyWebSocket\mobx\store.js", "JavaScript", 121, 0, 68, 51, 240
"d:\html\react\react-native\MyWebSocket\mobx\videoPlayer.js", "JavaScript", 24, 0, 4, 10, 38
"Total", "-", 219, 21, 78, 107, 425
