Date : 2021-12-06 18:16:31
Directory : d:\html\react\react-native\MyWebSocket\components
Total : 54 files,  3171 codes, 429 comments, 884 blanks, all 4484 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         52 |      3,133 |        414 |        861 |      4,408 |
| JavaScript       |          2 |         38 |         15 |         23 |         76 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\html\react\react-native\MyWebSocket\components\LikeAnimated\index.jsx                                | JavaScript React |         41 |         10 |         32 |         83 |
| d:\html\react\react-native\MyWebSocket\components\Loading\index.jsx                                     | JavaScript React |         54 |          0 |          5 |         59 |
| d:\html\react\react-native\MyWebSocket\components\MaskView\index.jsx                                    | JavaScript React |         24 |          0 |          8 |         32 |
| d:\html\react\react-native\MyWebSocket\components\MessageIcon\index.jsx                                 | JavaScript React |         12 |          0 |          6 |         18 |
| d:\html\react\react-native\MyWebSocket\components\MySwiper\SwiperItem.jsx                               | JavaScript React |         44 |          2 |         10 |         56 |
| d:\html\react\react-native\MyWebSocket\components\MySwiper\index.jsx                                    | JavaScript React |         56 |         10 |         10 |         76 |
| d:\html\react\react-native\MyWebSocket\components\MyTextInput\index.jsx                                 | JavaScript React |         50 |          0 |         12 |         62 |
| d:\html\react\react-native\MyWebSocket\components\NonIdCachedImage\index.jsx                            | JavaScript React |         13 |          1 |          6 |         20 |
| d:\html\react\react-native\MyWebSocket\components\OwnQRcode\index.jsx                                   | JavaScript React |         59 |          1 |         21 |         81 |
| d:\html\react\react-native\MyWebSocket\components\PostItemMiniStyle\index.jsx                           | JavaScript React |        147 |         16 |         46 |        209 |
| d:\html\react\react-native\MyWebSocket\components\PostItemSkeletonView\index.jsx                        | JavaScript React |         68 |          9 |         11 |         88 |
| d:\html\react\react-native\MyWebSocket\components\Progress\index.jsx                                    | JavaScript React |         16 |          4 |          5 |         25 |
| d:\html\react\react-native\MyWebSocket\components\QRcodeScanner\index.jsx                               | JavaScript React |         64 |          1 |         12 |         77 |
| d:\html\react\react-native\MyWebSocket\components\SkeletonView\index.jsx                                | JavaScript React |         41 |          7 |         14 |         62 |
| d:\html\react\react-native\MyWebSocket\components\UploadImage\index.jsx                                 | JavaScript React |         49 |          2 |         14 |         65 |
| d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\Progress.jsx                              | JavaScript React |         61 |          4 |         13 |         78 |
| d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\index.jsx                                 | JavaScript React |         54 |          2 |         20 |         76 |
| d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\item.jsx                                  | JavaScript React |        217 |         10 |         49 |        276 |
| d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\pause.jsx                                 | JavaScript React |         12 |          0 |          7 |         19 |
| d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\props.js                                  | JavaScript       |          4 |         11 |          5 |         20 |
| d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\textinput.jsx                             | JavaScript React |         27 |          0 |         15 |         42 |
| d:\html\react\react-native\MyWebSocket\components\VerticalScrollableVideo\index.jsx                     | JavaScript React |         55 |          9 |         14 |         78 |
| d:\html\react\react-native\MyWebSocket\components\ZoomableImage\index.jsx                               | JavaScript React |         73 |        100 |         32 |        205 |
| d:\html\react\react-native\MyWebSocket\components\ZoomableImage\other.jsx                               | JavaScript React |        109 |          0 |          5 |        114 |
| Total                                                                                                   |                  |      3,171 |        429 |        884 |      4,484 |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
