"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\html\react\react-native\MyWebSocket\mobx\chat.js", "JavaScript", 29, 0, 15, 44
"d:\html\react\react-native\MyWebSocket\mobx\store.js", "JavaScript", 121, 61, 47, 229
"d:\html\react\react-native\MyWebSocket\mobx\videoPlayer.js", "JavaScript", 24, 4, 10, 38
"Total", "-", 174, 65, 72, 311
